Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
KBWRDT7I,journalArticle,2019,X. Zhao; Y. Wu; D. L. Lee; W. Cui,iForest: Interpreting Random Forests via Visual Analytics,IEEE Transactions on Visualization and Computer Graphics,,1941-0506,10.1109/TVCG.2018.2864475,,"As an ensemble model that consists of many independent decision trees, random forests generate predictions by feeding the input to internal trees and summarizing their outputs. The ensemble nature of the model helps random forests outperform any individual decision tree. However, it also leads to a poor model interpretability, which significantly hinders the model from being used in fields that require transparent and explainable predictions, such as medical diagnosis and financial fraud detection. The interpretation challenges stem from the variety and complexity of the contained decision trees. Each decision tree has its unique structure and properties, such as the features used in the tree and the feature threshold in each tree node. Thus, a data input may lead to a variety of decision paths. To understand how a final prediction is achieved, it is desired to understand and compare all decision paths in the context of all tree structures, which is a huge challenge for any users. In this paper, we propose a visual analytic system aiming at interpreting random forest models and predictions. In addition to providing users with all the tree information, we summarize the decision paths in random forests, which eventually reflects the working mechanism of the model and reduces users' mental burden of interpretation. To demonstrate the effectiveness of our system, two usage scenarios and a qualitative user study are conducted.",2019-01,5/23/2023 9:34,5/23/2023 9:34,,407-416,,1,25,,IEEE Transactions on Visualization and Computer Graphics,,,,,,,,,,,,,,,,,,,Cognition; Decision trees; Forestry; Impurities; Interpretable Machine Learning; Machine learning; Predictive models; Random Forest Visualization; Random Forests; Vegetation; Visual Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM3FMPX9,journalArticle,2021,"Grin, Dmitry; Grigorieva, Maria; Artamonov, Alexey",Visual Analysis Application for the Error Messages Clustering Framework,Procedia Computer Science,,1877-0509,https://doi.org/10.1016/j.procs.2021.06.037,https://www.sciencedirect.com/science/article/pii/S1877050921012813,"The framework for clustering of error messages, ClusterLogs, was developed as a flexible and modular tool for the needs of large-scale distributed computing infrastructures. Various types of failures are being constantly registered during the execution of millions of computing operations daily. Monitoring systems are faced with a challenging task of the analysis of considerable amount of multi-sourced error messages. It is critical to present the information about errors to human experts in a way that makes them able to analyze it. ClusterLogs is a pipeline of methods that allows the discovering of common patterns in error messages and group similar messages for further analysis. This pipeline is able to cluster heterogeneous messages without any prior knowledge about textual pattern and can be executed in a fully automated way. In this work we describe a visual analytics web application that provides the analyst with the visual means of setting up clustering pipeline parameters and facilitates the interpretation and validation of the clustering results.",2021,9/11/2023 16:42,10/10/2023 9:10,,274-283,,,190,,,,,,,,,,,,,,,,,,,,,clustering; log analysis; machine learning; natural language processing; pattern recognition; visual analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F54FJ7NE,journalArticle,2021,"Almuhtaram, Husein; Kibuye, Faith A.; Ajjampur, Suraj; Glover, Caitlin M.; Hofmann, Ron; Gaget, Virginie; Owen, Christine; Wert, Eric C.; Zamyadi, Arash",State of knowledge on early warning tools for cyanobacteria detection,Ecological Indicators,,1470-160X,https://doi.org/10.1016/j.ecolind.2021.108442,https://www.sciencedirect.com/science/article/pii/S1470160X21011079,"The potential for cyanobacterial blooms to impact recreational and drinking water source quality is a growing concern. Numerous monitoring tools have been developed that can alert stakeholders to the onset of cyanobacterial blooms to initiate mitigation efforts for waters used for recreation or drinking water supply. Early warning monitoring systems need to consider multiple aspects of a cyanobacterial bloom: whether a bloom is occurring in the source water, whether it might be transported to drinking water intakes, whether toxin or taste and odor compound producers are present and what proportion of the cells in a bloom they comprise, and whether cells are entering a utility at concentrations above threshold levels. No single monitoring tool can provide all this information, so multi-barrier approaches are needed. Reviews of monitoring tools and their variations are available, but they are generally limited to one type of tool. Instead, a review and comparison of all the available tools is needed to inform stakeholders of them and their relative advantages and limitations. Therefore, this review covers conventional tools including microscopic enumeration, pigment extraction, qPCR, probes, and remote sensing as well as emerging techniques including next-generation sequencing, photonic systems, biosensors, drones, and applications of machine learning and discusses them primarily from a practical and operational standpoint. Moreover, a three-tier framework is proposed for designing comprehensive early warning systems that groups monitoring tools by their analytical targets: biological activity or algal biomass, cyanobacteria or cyanobacteria-related genes, and cyanobacterial metabolites. First tier tools are generally simple and inexpensive to use, including turbidity, optical density, visual inspection, drones, chlorophyll a, and adenosine triphosphate. Changes in water quality conditions detected using a first tier tool triggers the use of a second tier tools for identification and quantification of cyanobacteria by microscopy, phycocyanin, biosensors, hyperspectral remote sensing, or next-generation sequencing. If potentially harmful concentrations of cyanobacteria are confirmed, third tier tools are deployed for quantifying concentrations of cyanotoxins and taste and odor compounds or the genes that encode for them using enzyme-linked immunosorbent assays, mass spectrometry, qPCR, or other analytical methods. This framework is designed to minimize the time and cost associated with cyanobacteria monitoring without compromising the ability of stakeholders to detect the onset of a bloom.",2021,9/11/2023 16:45,9/11/2023 16:45,,108442,,,133,,,,,,,,,,,,,,,,,,,,,Artificial intelligence; Automated cell imaging; Drones; Monitoring; Phycocyanin; Remote sensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2C86HGJ,journalArticle,2021,"Ooge, J.; Stiglic, G.; Verbert, K.",Explaining artificial intelligence with visual analytics in healthcare,WIREs Data Mining and Knowledge Discovery,,,10.1002/widm.1427,,,2021,10/10/2023 9:11,10/10/2023 9:11,,,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSEQ9Q7X,journalArticle,2016,"Wongsuphasawat, Kanit; Moritz, Dominik; Anand, Anushka; Mackinlay, Jock; Howe, Bill; Heer, Jeffrey",Voyager: Exploratory Analysis via Faceted Browsing of Visualization Recommendations,IEEE Transactions on Visualization and Computer Graphics,,10772626,10.1109/TVCG.2015.2467191,,"General visualization tools typically require manual specification of views: analysts must select data variables and then choose which transformations and visual encodings to apply. These decisions often involve both domain and visualization design expertise, and may impose a tedious specification process that impedes exploration. In this paper, we seek to complement manual chart construction with interactive navigation of a gallery of automatically-generated visualizations. We contribute Voyager, a mixed-initiative system that supports faceted browsing of recommended charts chosen according to statistical and perceptual measures. We describe Voyager's architecture, motivating design principles, and methods for generating and interacting with visualization recommendations. In a study comparing Voyager to a manual visualization specification tool, we find that Voyager facilitates exploration of previously unseen data and leads to increased data variable coverage. We then distill design implications for visualization tools, in particular the need to balance rapid exploration and targeted question-answering.",2016-01,10/10/2023 9:11,10/10/2023 9:11,,649–658,,1,22,,,,,,,,,,,,,,,,,,,,,Browsers; Compass; Data visualization; Encoding; Grammar; Image color analysis; Visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UP6UNKLD,conferencePaper,2018,"Lucas, Ji; Idris, Yasser; Contreras-Rojas, Bertty; Quiane-Ruiz, Jorge-Arnulfo; Chawla, Sanjay",RheemStudio: Cross-Platform Data Analytics Made Easy,2018 IEEE 34TH INTERNATIONAL CONFERENCE ON DATA ENGINEERING (ICDE),978-1-5386-5520-7,,10.1109/ICDE.2018.00179,,"Many of today's applications need several data processing platforms for complex analytics. Thus, recent systems have taken steps towards supporting cross-platform data analytics. Yet, current cross-platform systems lack of ease-of-use, which is crucial for their adoption. This demo presents RHEEMStudio, a visual IDE on top of RHEEM. It allows users to easily specify their cross-platform data analytic tasks. In this demo, we will demonstrate five main features of RHEEMStudio: drag-and-drop, declarative, interactive, and customized specification of data analytic tasks as well as easy monitoring of tasks. With this in mind, we will consider two real use cases, one from the machine learning world and the second one based on data discovery. During all the demo, the audience will be able to take part and create their own data analytic tasks too.",2018,10/10/2023 9:11,10/10/2023 9:11,,1573–1576,,,,,,,IEEE International Conference on Data Engineering,,,,IEEE,,,,,,,,,"Place: 345 E 47TH ST, NEW YORK, NY 10017 USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV7JTHC4,journalArticle,2019,"Dowling, Michelle; Wycoff, Nathan; Mayer, Brian; Wenskovitch, John; Leman, Scotland; House, Leanna; Polys, Nicholas; North, Chris; Hauck, Peter",Interactive Visual Analytics for Sensemaking with Big Text,Big Data Research,,22145796,10.1016/j.bdr.2019.04.003,https://linkinghub.elsevier.com/retrieve/pii/S2214579618302995,,2019-07,10/10/2023 9:11,10/10/2023 9:11,6/12/2023,49–58,,,16,,Big Data Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8SCXISSM,journalArticle,2019,"Vasuki, Yathunanthan; Yu, Le; Holden, Eun-Jung; Kovesi, Peter; Wedge, Daniel; Grigg, Andrew H.","The spatial-temporal patterns of land cover changes due to mining activities in the Darling Range, Western Australia: A Visual Analytics Approach",Ore Geology Reviews,,1691368,10.1016/j.oregeorev.2018.07.001,https://linkinghub.elsevier.com/retrieve/pii/S0169136817305371,"The Darling Range in Western Australia is a major bauxite producing region. Clearing, excavation and rehabilitation activities related to bauxite mining have inﬂuenced land cover within this region since mining commenced in the 1960s. This paper presents a study that used machine learning and time series visualisation to analyse the land cover changes of the Darling Range using time-lapse multispectral images, with the aim of understanding the impact of the mining activities and land rehabilitation patterns of the region. Land cover changes were analysed using 14 Landsat Thematic Mapper (TM) images between 1988 and 2014. The spatial distribution of land cover was classiﬁed automatically using machine learning algorithms, and their temporal changes were visualized for analysis. Supervised classiﬁcation was carried out based on the six spectral features of the images using three machine learning algorithms, namely support vector machine (SVM), random forest (RF) and Naïve Bayes (NB). The results showed that the RF algorithm achieved overall accuracy, (ratio of correctly classiﬁed samples divided by the total number of samples), greater than 95% for all years. The temporal changes of land cover distribution over the study period were visualized using a change map. These changes were compared with land clearing and rehabilitation records of a mining company operating in that region. A close correlation was observed between the automated analysis outputs and the company’s records. This work demonstrates the potential use of machine analysis in improving the accuracy of spatial data related to land clearing; and in monitoring vegetation recovery of closed and rehabilitated mines.",2019-05,10/10/2023 9:11,10/10/2023 9:11,6/12/2023,23–32,,,108,,Ore Geology Reviews,"The spatial-temporal patterns of land cover changes due to mining activities in the Darling Range, Western Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UW7UMFAY,journalArticle,2020,"Grimaldo, Ana I.; Novak, Jasminko",Combining Machine Learning with Visual Analytics for Explainable Forecasting of Energy Demand in Prosumer Scenarios,Procedia Computer Science,,18770509,10.1016/j.procs.2020.07.074,https://linkinghub.elsevier.com/retrieve/pii/S1877050920317749,"Abstract This paper presents the design and a prototypical implementation of a tool for short-term energy demand forecasting in prosumer sTcheinsapraiopserinprleosceanltsentheergdyessiygsnteamnds.aTphreotportoytpoitcyapleimcpolmembiennetsateixopnlaoifnaabtoleolmfoarchsihnoertl-etearmninegnearngdy dviesmualndanfaolryetcicastitnogfianciplirtoasteumtheer sfocerencaarsiotisnginanlodcaanlaelynseirsgoyfseynsetregmysd. eTmhaenpdraontodtysuppepclyominbainweasyeuxspalbailneafbolresmalclhuintielitlieasrnoint gusaenddtovcisoumalplaenxaalyntaiclystitcoalfacpiplirtoaatechtehse. fIot raepcpalsietisnga aknNdNan(kal-yNseisaroefset nNeergigyhdbeomura)nadlgaonrditshumpptolyfionreacwasatyeunsearbglyedfoermsamndallanudtilsituipesplnyoat nudsepdretosecnotms tphlexreasnualltystincaalnapinptreorachtievse. IvtisaupapllideasshabkoNarNd (thka-Nt aelalorewsts Ntheeiguhsebrotuor)anaalglyozriethdmiffteorefnotrefocraesctaesntearlgteyrndaetmivaensd, taonudnsdueprsptlaynadnhdopwrethsenytrsetlhaeterteosuthltes iinnpaunt pinatrearmacetievres vanisduaidl denastihfybocaordnstuhmatpatliloonwasnthdepursoedrutcotiaonnalpyaztetedrinffse. rIennitifaolreacsasestssamlternntaotifveths,etofournedcaesrstitnagndahcocuwrathcyey(rMelAatPeEto5t.h7e7i%np)uotnpaaralmimeitteerds adnadtasiedteanntidfythceofneseudmbpactikonfroamndtaprrgoedtuucsteiorsn spuaptpteorrntst.heInfietiaaslibaislsiteyssomf ethnet porfotphoesefdoraepcpasrotiancgh.accuracy (MAPE 5.77%) on a limited dataset and the feedback from target users support the feasibility of the proposed approach.",2020,10/10/2023 9:11,10/10/2023 9:11,6/12/2023,525–532,,,175,,Procedia Computer Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I3DL3VLH,journalArticle,2021,"Chou, Jui-Sheng; Truong, Dinh-Nhat; Kuo, Ching-Chiun",Imaging time-series with features to enable visual recognition of regional energy consumption by bio-inspired optimization of deep learning,Energy,,3605442,10.1016/j.energy.2021.120100,https://linkinghub.elsevier.com/retrieve/pii/S0360544221003492,"To increase the efﬁciency of energy use, ensure the stability of the power supply, and achieve balance in the energy supply, power management units have proposed plans that integrate energy-saving with intelligent systems, in which smart grids are used to distribute power and to manage power consumption. Imagery deep learning technology is proposed to address the knowledge gap, and highly accurate energy consumption predictions can be made by converting the 1-D time-series and features to 2-D images for visual recognition. Models based on machine learning and convolutional neural networks (CNNs) were used to predict future power consumption. Performance indicators were evaluated to determine the prediction accuracy and identify the best model for predicting power consumption. A metaheuristicdJellyﬁsh Search (JS)dis incorporated into the best model to optimize its hyperparameters to ensure model accuracy and stability. After the hybrid JS-CNNs model was constructed, validation was carried out. The analytical results provide insights into the formulation of energy policy for management units and can help power supply agencies to distribute regional power in a way that minimizes unnecessary energy loss. This study contributes to the prediction of future energy consumption trends, reveals power consumption patterns in cities and counties across a nation.",2021-06,10/10/2023 9:11,10/10/2023 9:11,6/12/2023,120100,,,224,,Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
